Timestamp,1.1. Coder Initials,1.2. Article DOI,1.3. Is there a statement in the article that there was a pilot study conducted?,"1.3.1. If there is no pilot study reported in the article, what did the keyword ""pilot"", ""preliminary study"" or ""feasibility study"" refer to? ",2.1.  Is the article a Registered Report? ,2.2.  Does the article state whether or not reported study/studies were preregistered? ,2.3. How many studies does the article report? ,2.4. What type of study(ies) are being reported?,"2.4.1. If the article reports empirical data, what type of empirical data study is being reported?",3.1 How does the article state that there was a pilot study conducted? ,3.2  How is the pilot study referred to in the article? ,3.3  Does the article state how many pilots have been conducted? ,"3.3.1 If there is a statement about the number of pilots conducted, what is the number of pilots?",3.4. Does the article state the purpose of the pilot(s) that have been conducted? ,3.5. Does the article state how the overall procedure for the pilot(s) was decided upon?,3.6. Does the article state the sample size(s) of the pilot(s) that have been conducted?,"3.6.1 If the article state the pilot(s) sample size(s), does it state the justification of the sample size(s)? ",3.7 Does the article state the recruitment method for the sample in the pilot studies? ,3.8 Does the article state the stopping rule: the decision behind finalizing piloting? ,"3.8.1. If the article states the stopping rule, is it possible to categorize this rule into one or more of the categories below? ",3.9  Is there a statement on how similar or different the pilot(s) were from the main study(ies)? ,4.1  Does the article state whether or not data from the pilot(s) are available? ,"4.1.1 If pilot data are available, how does the statement indicate that the data are available?","4.1.2 If pilot data are available, can you access, download, and open the data files without an additional step such as a sign-up or a login? ",5.1. Does the article state whether or not pilot analysis scripts are available? ,"5.1.1 If pilot analyses are available, how does the statement indicate that they are available? ","5.1.2. If pilot analyses are available, can you access, download, and open the pilot analysis scripts without an additional step such as a sign-up or a login?",6.1.  Does the article state whether or not pilot materials/methods are available? ,"6.1.1 If pilot materials/methods are available, how does the statement indicate that they are available? ","6.1.2. If pilot materials/methods are available, can you access, download, and open the files without an additional step such as a sign-up or a login? ",7.1.  Does the article report results or outcomes from the analysis of the pilot study data? ,"7.1.1. If pilot results or outcomes are reported, what are the reported results?","7.1.2. Does the article state that the data or results from the pilot were combined with the final, main study results? ",7.1.3. Does the article state whether or how the pilot study results affected the main study? ,Any other details,8.1. Does the article include a funding statement?,8.2. Does the article include a statement indicating whether there were any conflicts of interest?,"8.2.1. If there is a conflict of interest statement, what is the statement?",Is the pilot reporting in this article an example of “best practice” that could be used to guide others?,"9.1. Do you have any feedback on the form, instructions or general coding procedure?",9.2. How much time did it take you to code this article?
10/24/2025 7:52:05,MME,https://doi.org/10.1016/j.brat.2022.104152,"Yes, the article states that there was a pilot study",,No,"Yes, the article states that there is a preregistration",1,Empirical study(ies),"Experimental study, Quantitative observational study, Randomized Controlled Trial (RCT)","The current study is a proof of concept and preliminary test of the feasibility and efficacy of treating two specific features of perfectionism with two online self-help trainings based on PBT principles: a four-session cognitive training and a four-session motivational training (order in which trainings were delivered was randomized). Given the exploratory nature of this investigation, we recruited a convenience sample of participants who self-reported elevated levels of perfectionism. Initial key tests of the premises of PBT include determining whether improving these processes improves outcomes (procedural utility) and whether distinct procedures have distinct functions in targeting relevant processes (procedural precision).","“Preliminary” (study, experiment, test or similar)",No,One pilot study reported in the article (single study),The current study is a proof of concept and preliminary test of the feasibility and efficacy of treating two specific features of perfectionism with two online self-help trainings based on PBT principles: a four-session cognitive training and a four-session motivational training (order in which trainings were delivered was randomized). ,"The current study is a proof of concept and preliminary test of the feasibility and efficacy of treating two specific features of perfectionism with two online self-help trainings based on PBT principles: a four-session cognitive training and a four-session motivational training (order in which trainings were delivered was randomized). Given the exploratory nature of this investigation, we recruited a convenience sample of participants who self-reported elevated levels of perfectionism. Initial key tests of the premises of PBT include determining whether improving these processes improves outcomes (procedural utility) and whether distinct procedures have distinct functions in targeting relevant processes (procedural precision).",Participants who met eligibility criteria (N = 77) were randomized into one of two groups using block randomization to ensure approximately equal numbers in each group. The first author generated the random allocation sequence with a random number table. Participants self-enrolled in the study; they were provided with a link to the informed consent document after completing the screener if they met eligibility criteria.,No,"Given the exploratory nature of this investigation, we recruited a convenience sample of participants who self-reported elevated levels of perfectionism.",NA,,NA,No (GO TO NEXT SECTION),,,No (GO TO NEXT SECTION),,,No (GO TO NEXT SECTION),,,Yes,Results from these models are described in the following paragraphs. Means and standard deviations of self-report measures over time are presented in Table 5.,They treat the article as a preliminary,N/A,They report most of the statistics and data in tables. ,This study was funded by a Research Development Grant from the Association for Contextual Behavioral Science.,"Yes, the statement says that there are one or more conflicts of interest",The authors declare they have no conflicts of interest.,No,,
10/24/2025 7:54:27,MME,https://doi.org/10.3758/s13428-021-01776-2,"No, there is no statement that a pilot study was conducted","s described on Pavlovia’s websiteFootnote4, although there is no charge for running a pilot test, conducting a full study requires the purchase of participant credits (GBP 0.20 per participant) or an institutional license (GBP 1500 per year, with no participant limit).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2025 7:58:13,MME,https://doi.org/10.1037/pag0000644,We likewise present an example of a recent pilot pragmatic trial from our own work focused on implementation of dementia education in an established community volunteer program (Porchlight Project).,"Refering to previous studies (e.g. ""a small pilot study yielded similar findings in children with ASD (Chong et al., 2021).""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,They say . We illustrate these recommendations in the context of a recent pilot pragmatic trial known as the Porchlight Project and they provide the reference but it was more about recommendations based on it. So it might be important to include but would need some discussion about it. ,
10/24/2025 7:59:40,MME,https://doi.org/10.1016/j.brat.2021.103997,"To ensure that the recordings reflected what might typically happen in a school environment, we showed a pilot recording to University students and used their feedback in subsequent recordings Then says  We would also like to thank Audrey Screen for her invaluable support with recruitment and during the pilot","We would also like to thank Audrey Screen for her invaluable support with recruitment and during the pilot.  o ensure that the recordings reflected what might typically happen in a school environment, we showed a pilot recording to University students and used their feedback in subsequent recordings. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2025 8:11:03,MME,10.1002/eat.23864,"Yes, the article states that there was a pilot study",,No,"Yes, the article states that there is a preregistration",1,Empirical study(ies),"Experimental study, Randomized Controlled Trial (RCT)","Our pilot study identified a more modest decrease in self-monitoring during treatment, from an average of 3.31 entries per day in the first week of treatment to 2.13 entries per day during week 15 (Juarascio et al., 2022). 
As described previously, our pilot trial found that individuals with self-regulation deficits benefitted more from JITAIs during CBT-E than individuals without these difficulties (Presseller et al., 2022). 
Impulsivity and emotion dysregulation have been identified as aspects of self-regulation that are highly relevant for individuals with eating pathology (Lavender et al., 2015) and were predictive of individuals who responded particularly well to JITAIs in our pilot trial (Presseller et al., 2022); these two constructs will be used as markers of self-regulation deficits at baseline.
Based on our pilot study, we conservatively estimated a medium effect size (d = 0.5) for microintervention complexity. Our power analysis suggested a sample size of 210 (70 for each of the three complexity levels) to achieve 80% power with the significant level of 0.05 and five assessment points to detect a medium effect, assuming the ratio of the variability of level-1 coefficient to the variability of level-1 residual is at least one. ","“Pilot*” (study, experiment, test or similar; piloting; piloted)",Yes,One pilot study reported in the article (single study),N/A,N/A,N/A,N/A,N/A,N/A,,"Impulsivity and emotion dysregulation have been identified as aspects of self-regulation that are highly relevant for individuals with eating pathology (Lavender et al., 2015) and were predictive of individuals who responded particularly well to JITAIs in our pilot trial (Presseller et al., 2022); these two constructs will be used as markers of self-regulation deficits at baseline.",Had to check the previous article. No data from pilot is available.,,,"Had to check previous study, no scripts are available. ",,,"Had to check previous article, no pilot materials/methods were available.",,,No,,,NA,,"National Institute of Mental Health, Grant/Award Numbers: R01MH129478, F31MH131262; National Institute of Diabetes, Digestive, and Kidney Diseases, Grant/Award Number: K23DK124514","No, there is no conflict of interest statement",The authors have no conflicts of interest to disclose.,"Well if no other study shares data, materials, scripts and so on then yes it is the best of a bad bunch but if others do share it. Then no, it is not a good example except for the methods written and results.",,
10/24/2025 14:38:58,MBN,test,"Yes, the article states that there was a pilot study",,test,test,test,test,"Simulation study, test",how should we demarcate separate quotations?,"“Pilot*” (study, experiment, test or similar; piloting; piloted)",No,test,,,,,,,,,go to next section as in click to the next page assuming,,,No (GO TO NEXT SECTION),,,No (GO TO NEXT SECTION),"idk if I fully understand third party, like they mention OSF but provide no link?",,No,,,,,,"No, there is no conflict of interest statement",,this might need 'an according to you' since this seems to be subjective/qualitative no?,would add progress bar,I think well have to remind people in the begging of the form to check the time so that they can guestimate how long they take to complete it at the end of the form 
10/24/2025 14:45:02,MBN,test,"No, there is no statement that a pilot study was conducted",test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I would maybe have a general comment section in the page before to capture context (similarly to if a pilot study was reported),
10/24/2025 14:46:10,MBN,test,test,should other go here?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,again maybe it should funnel into a comment ,
10/26/2025 21:05:41,EP,10.1177/13623613221117020,"No, there is no statement that a pilot study was conducted","Refering to previous studies (e.g. ""a small pilot study yielded similar findings in children with ASD (Chong et al., 2021).""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 min
10/26/2025 21:07:58,EP,10.1177/13623613221105091,"No, there is no statement that a pilot study was conducted","Refering to previous studies (e.g. ""a small pilot study yielded similar findings in children with ASD (Chong et al., 2021).""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 min
