Timestamp,1.1. Coder Initials,1.2. Article DOI,1.3. Is there a statement in the article that there was a pilot study conducted?,"1.3.1. If there is no pilot study reported in the article, what did the keyword ""pilot"", ""preliminary study"" or ""feasibility study"" refer to? ","1.3.2. If the pilot is reported in a separate paper, what is the reference to the paper provided in the article?",2.1.  Is the article a Registered Report? ,"2.2.  According to what is stated in the article, were the reported study(ies) preregistered? ",2.3. How many studies does the article report? ,2.4. What type of study(ies) are being reported?,"2.4.1. If the article reports empirical data, what type of empirical data study is being reported?",3.1 How does the article state that there was a pilot study conducted? ,3.2  How is the pilot study referred to in the article? ,3.3  Does the article state how many pilots have been conducted? ,"3.3.1 If there is a statement about the number of pilots conducted, what is the number of pilots?",3.4. Does the article state the purpose of the pilot(s) that have been conducted? ,"3.4.1  If there is a statement about the purpose of the pilot(s), what is the statement? ",3.5 Does the article state the stopping rule: the decision behind finalizing piloting?  ,"3.5.1 If the article states the stopping rule, what is the statement?  ","3.5.2. If the article states the stopping rule, is it possible to categorize this rule into one or more of the categories below? ",3.6. Does the article state how the overall procedure for the pilot(s) was decided upon? ,"3.6.1 If the article states how the overall procedure for the pilot(s) was decided upon, what is the statement?",3.7. Does the article state the sample size(s) of the pilot(s) that have been conducted? ,"3.7.1 If the article states the sample size(s) of the pilot(s), what is the statement?","3.7.2 If the article states the pilot(s) sample size(s), does it state the justification of the sample size(s)? ",3.8 Does the article state the recruitment method for the sample in the pilot studies?  ,"3.8.1 If the article states the recruitment method for the sample in the pilot studies, what is the statement?  ",3.9  Is there a statement on how similar or different the pilot(s) were from the main study(ies)? ,"3.9.1  If there is a statement on how similar or different the pilot(s) were from the main study(ies), what is the statement?",4.1  Does the article state whether or not data from the pilot(s) are available? ,"4.1.1 If pilot data are available, how does the statement indicate that the data are available?","4.1.2 If pilot data are available, can you access, download, and open the data files without an additional step such as a sign-up or a login? ",5.1. Does the article state whether or not pilot analysis scripts are available? ,"5.1.1 If pilot analyses are available, how does the statement indicate that they are available? ","5.1.2. If pilot analyses are available, can you access, download, and open the pilot analysis scripts without an additional step such as a sign-up or a login?",6.1.  Does the article state whether or not pilot materials/methods are available? ,"6.1.1 If pilot materials/methods are available, how does the statement indicate that they are available? ","6.1.2. If pilot materials/methods are available, can you access, download, and open the files without an additional step such as a sign-up or a login? ",7.1.  Does the article report results or outcomes from the analysis of the pilot study data? ,"7.1.1. If pilot results or outcomes are reported, what are the reported results?","7.1.2. Does the article state that the data or results from the pilot were combined with the final, main study results? ",7.1.3. Does the article state whether or how the pilot study results affected the main study? ,Any other details,8.1. Does the article include a funding statement? ,"8.1.1 If the article include a funding statement, what is the statement?",8.2. Does the article include a statement indicating whether there were any conflicts of interest (COI)?,"8.2.1. If there is a conflict of interest statement, what is the statement?",Is the pilot reporting in this article an example of “best practice” that could be used to guide others?,"9.1. Do you have any feedback on the form, instructions or general coding procedure?",9.2. How much time did it take you to code this article?
3/3/2026 15:38:46,ABo,10.1177/23794607241262091,"No, there is no statement that a pilot study was conducted","Other context (e.g. ""When they run on automatic pilot..."")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 min
3/3/2026 15:52:11,ABo,10.1080/03069885.2023.2214307,"Yes, the article states that there was a pilot study and the pilot is reported in main text",,,No,"No, there is no statement about preregistration",1,Empirical study(ies),Qualitative study,"""The questions developed were piloted before agreement of the final interview schedule. It included questions which aimed to explore participants’ experiences of mental health, help-seeking, disclosure and help seeking behaviour. For example, “If you were to experience mental health issues, do you feel you could talk to someone about it?” and “What do you think others might think about you going to seek help?”.""","“Pilot*” (study, experiment, test or similar; piloting; piloted)",No,,No,,Yes,"""The questions developed were piloted before agreement of the final interview schedule.""",Piloting stops when final schedule is developed,No,,No,,,No,,No,,No (GO TO NEXT SECTION),,,No (GO TO NEXT SECTION),,,No (GO TO NEXT SECTION),,,No,,"No, there is no statement about combining pilot data or results with the main study sample.",,,Yes,Student Mental Health Research Network (SMARTEN): UKRI for funding this project.,"Yes, the statement says that there is no conflict of interest",No potential conflict of interest was reported by the author(s).,No,,10 min
3/3/2026 16:22:44,ABo,10.1177/00302228231185172,"Yes, the article states that there was a pilot study and the pilot is reported in main text",,,No,"No, there is no statement about preregistration",1,Empirical study(ies),Qualitative study,"""For the interviews, a themed interview guide was created, pilot-tested and followed (Table 2).""","“Pilot*” (study, experiment, test or similar; piloting; piloted)",No,,No,,No,,,No,,No,,,No,,No,,No (GO TO NEXT SECTION),,,No (GO TO NEXT SECTION),,,Yes,Supplementary materials hosted by the journal,Yes,No,,"No, there is no statement about combining pilot data or results with the main study sample.",,,"Yes, and the statement provides funding information.","This study was supported through funding from the Finnish Government Research Funding (Satakunta Hospital District), Grant/Award Number: 265/ 2022 and 520/2018","Yes, the statement says that there is no conflict of interest","The author(s) declared no potential conflicts of interest with respect to the research, authorship, and/or publication of this article.",No,,10 min
3/3/2026 22:10:52,MME,10.1192/bjo.2023.167,"No, there is no statement that a pilot study was conducted",An abstract of a different paper: Identification of Cognitive Impairment in Cardiovascular Rehabilitation: A Pilot Cross-Sectional Study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.,1 minute
3/3/2026 22:18:58,MME,10.1111/sjop.12920,"Yes, the article states that there was a pilot study and the pilot is reported in main text",,,No,"No, there is no statement about preregistration",1,Empirical study(ies),Quantitative observational study," Further, pilot testing indicated that some of the levels on the 12 Step Play Scale showed substantial overlaps or that the children did not really play on those pretend play levels (e.g., they would rarely pretend play on themselves due to the toys/figures being available for playing with). Thus, for this study, we combined the two instruments’ levels of play into four of increasing complexity ","“Pilot*” (study, experiment, test or similar; piloting; piloted)",No,,No,,No,,,No,,No,,,No,,Yes,"Further, pilot testing indicated that some of the levels on the 12 Step Play Scale showed substantial overlaps or that the children did not really play on those pretend play levels (e.g., they would rarely pretend play on themselves due to the toys/figures being available for playing with). Thus, for this study, we combined the two instruments’ levels of play into four of increasing complexity [Uncertain]",No (GO TO NEXT SECTION),,,No (GO TO NEXT SECTION),,,No (GO TO NEXT SECTION),,,No,,"No, there is no statement about combining pilot data or results with the main study sample.",,The overall data is available upon request,"Yes, and the statement provides funding information.","The study was funded by the LEGO Foundation.
","Yes, the statement says that there are one or more conflicts of interest",The study was funded by the LEGO Foundation. Toys that were used in the study were donated by LEGO. The funding parties had no deciding power in connection to the design of study and were not involved in the interpretation of the results.,No,No,4
3/4/2026 12:42:46,RS,10.1111/cdev.14027,"Yes, the article states that there was a pilot study and the pilot is reported in main text",,,No,"No, the article states that there is no preregistration",1,Empirical study(ies),Experimental study,"Although estimates of effect sizes were unavailable in the literature for this novel question, initial pilot data suggested a medium to large effect size (ds from 0.5 to 0.8), supporting the suitability of this sample size to test the question of interest ;; Responses that did not appeal to these frameworks were not examined further (4-year-olds: 29% of trials; 7-year-olds: 27%; 10-year-olds: 23%; adults: 18%). Classifications were based loosely on those utilized in other explanation studies (Dunn & Brown, 1993; Lovett & Pillow, 2010; Miller, 1986; Rhodes, 2014) and informed by pilot data. ","“Pilot*” (study, experiment, test or similar; piloting; piloted)",Yes,One pilot study reported in the article (single study),No,,No,,,No,,No,,,No,,No,,No (GO TO NEXT SECTION),,,No (GO TO NEXT SECTION),,,No (GO TO NEXT SECTION),,,Yes,"Although estimates of effect sizes were unavailable in the literature for this novel question, initial pilot data suggested a medium to large effect size (ds from 0.5 to 0.8), supporting the suitability of this sample size to test the question of interest. Classifications were based loosely on those utilized in other explanation studies (Dunn & Brown, 1993; Lovett & Pillow, 2010; Miller, 1986; Rhodes, 2014) and informed by pilot data.","Yes, only the results (pilot results were used or combined with the main study results to support final conclusions).",,,"Yes, and the statement provides funding information.",Funding information  College of Arts and Sciences at Lehigh University,"No, there is no conflict of interest statement",,No,,10 min
3/4/2026 12:45:41,MME,https://doi.org/10.32872/cpe.9341,"Yes, the article states that there was a pilot study and the pilot is reported in main text",,,No,"Yes, the article states that there is a preregistration",1,Empirical study(ies),Randomized Controlled Trial (RCT),"In order to determine the sample size for this feasibility trial, we followed the recommendation by Whitehead et al. (2016), resulting in a sample size of 15 participants per trial arm for pilot testing of a potential confirmatory trial with 90% power and two-sided 5% significance; The Supplementary Materials contain the pre-registration information for the study (for access see Index of Supplementary Materials below).

Balci S., Küchler A., Ebert D. D., Baumeister H. (2019). English version of the StudiCare mindfulness: A randomized controlled pilot study [Pre-registration protocol; DRKS-ID: DRKS00017507]. PsychOpen. https://drks.de/search/en/trial/DRKS00017507 [Google Scholar]; Pilot/ feasibility studies	this trial has been conducted to measure the feasibility to inform a future definitive trial.","“Pilot*” (study, experiment, test or similar; piloting; piloted), “Feasibility” (study, experiment, test or similar)",No,,Yes,Pilot/ feasibility studies - this trial has been conducted to measure the feasibility to inform a future definitive trial.,No,,,No,,Yes,"In order to determine the sample size for this feasibility trial, we followed the recommendation by Whitehead et al. (2016), resulting in a sample size of 15 participants per trial arm for pilot testing of a potential confirmatory trial with 90% power and two-sided 5% significance","In order to determine the sample size for this feasibility trial, we followed the recommendation by Whitehead et al. (2016), resulting in a sample size of 15 participants per trial arm for pilot testing of a potential confirmatory trial with 90% power and two-sided 5% significance",No,,No,,Yes,Upon request from the authors,No,No (GO TO NEXT SECTION),,,No (GO TO NEXT SECTION),,,Yes,"The manuscript itself is the pilot. But we can include here: Descriptive statistics of the study outcomes at the baseline are represented in Table 3. There were no baseline differences observed. Controlling for baseline mindfulness levels, IG participants showed improvement in mindfulness at the T1 compared to WL (β = 0.34, 95% CI [0.06, 0.63], p < .05; Adjusted R2 = 0.13). Moreover, anxiety was improved among IG participants, compared to WL (β = -0.42, 95% CI [-0.72, -0.11], p < .05; Adjusted R2 = 0.14) as well as Well-being (β = 0.37, 95% CI [0.07, 0.68], p < .05; Adjusted R2 = 0.13).",The manuscript itself seems like it was the pilot,,The manuscript itself was a feasibility/pilot,"Yes, and the statement provides funding information.","S.B. receives a scholarship granted by the Ministry of National Education in Turkey. Open Access funding was provided by the University of Ulm. The funders had no role in the study design, data collection, analysis, decision to publish, or preparation of the manuscript.","Yes, the statement says that there is no conflict of interest",The authors have declared that no competing interests exist.,Yes,,10
3/4/2026 12:51:43,RS,10.1016/j.jecp.2023.105761,"Yes, the article states that there was a pilot study and the pilot is reported in main text",,,No,"No, there is no statement about preregistration",1,Empirical study(ies),Experimental study,"Based on in-lab piloting, tones in the high-frequency band were presented at 40% of the amplitude of lower-frequency tones to ensure that the perceived loudness of the two bands was approximately balanced.","“Pilot*” (study, experiment, test or similar; piloting; piloted)",No,,Yes,"Based on in-lab piloting, tones in the high-frequency band were presented at 40% of the amplitude of lower-frequency tones to ensure that the perceived loudness of the two bands was approximately balanced.",No,,,No,,No,,,No,,No,,No (GO TO NEXT SECTION),,,No (GO TO NEXT SECTION),,,No (GO TO NEXT SECTION),,,No,,"No, there is no statement about combining pilot data or results with the main study sample.","Based on in-lab piloting, tones in the high-frequency band were presented at 40% of the amplitude of lower-frequency tones to ensure that the perceived loudness of the two bands was approximately balanced.",,"No, there is no funding statement.",,"No, there is no conflict of interest statement",,No,,7 min
3/4/2026 12:57:06,RS,10.1192/bjo.2023.288,"article was a conference abstract, the article below it was a pilot study in the same page","it was a conference abstract, the next study on the same page was pilot study",10.1192/bjo.2023.289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 min 
3/4/2026 13:05:39,RS,10.1111/bjc.12441,"Yes, the article states that there was a pilot study and the pilot is reported in main text",,,No,"No, there is no statement about preregistration",1,Empirical study(ies),Experimental study,"We determined 15 min as the cut-off point based on pilot testing within our research group, suggesting that anything less would be an insufficient amount of time to pay proper attention to all survey materials. ;; We presented the items in order of difficulty across passive or active engagement, along with the level of effort required for engagement; rankings were based on pilot testing within our research group.","“Pilot*” (study, experiment, test or similar; piloting; piloted)",No,,Yes,"We determined 15 min as the cut-off point based on pilot testing within our research group, suggesting that anything less would be an insufficient amount of time to pay proper attention to all survey materials. ;; We presented the items in order of difficulty across passive or active engagement, along with the level of effort required for engagement; rankings were based on pilot testing within our research group.",No,,,No,,No,,,No,,No,,No (GO TO NEXT SECTION),,,No (GO TO NEXT SECTION),,,No (GO TO NEXT SECTION),,,No,,"No, there is no statement about combining pilot data or results with the main study sample.","We determined 15 min as the cut-off point based on pilot testing within our research group, suggesting that anything less would be an insufficient amount of time to pay proper attention to all survey materials. ;; We presented the items in order of difficulty across passive or active engagement, along with the level of effort required for engagement; rankings were based on pilot testing within our research group.",,"No, there is no funding statement.",,"Yes, the statement says that there is no conflict of interest",,No,,7 min 
